Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location,Team Avg Scoring Margin,Opponent Average Scoring Margin
3/7/13,Oregon St,Utah,61,72,Utah,-11,Loss,Away,2.00,-1.93
3/7/13,Utah St,Texas St,77,61,Utah St,16,Win,Home,4.79,-6.23
3/7/13,Texas St,Utah St,61,77,Utah St,-16,Loss,Away,-6.23,4.79
3/7/13,Weber St,Portland St,80,52,Weber St,28,Win,Home,11.30,-5.31
3/7/13,Portland St,Weber St,52,80,Weber St,-28,Loss,Away,-5.31,11.30
3/6/13,Army,American Univ,65,44,Army,21,Win,Home,3.03,-6.03
3/6/13,American Univ,Army,44,65,Army,-21,Loss,Away,-6.03,3.03
3/6/13,Tennessee,Auburn,82,75,Auburn,7,Win,Away,3.33,-3.81
3/6/13,Auburn,Tennessee,75,82,Auburn,-7,Loss,Home,-3.81,3.33
3/6/13,Mt St Mary's,Bryant,75,69,Bryant,6,Win,Away,-1.13,2.90
3/6/13,Bryant,Mt St Mary's,69,75,Bryant,-6,Loss,Home,2.90,-1.13
3/6/13,Bucknell,Navy,58,42,Bucknell,16,Win,Home,9.61,-6.87
3/6/13,Navy,Bucknell,42,58,Bucknell,-16,Loss,Away,-6.87,9.61
3/6/13,Stanford,California,83,70,California,13,Win,Away,4.81,3.60
3/6/13,California,Stanford,70,83,California,-13,Loss,Home,3.60,4.81
3/6/13,Dayton,St Bonaventure,75,63,Dayton,12,Win,Home,5.47,0.72
3/6/13,St Bonaventure,Dayton,63,75,Dayton,-12,Loss,Away,0.72,5.47
3/6/13,Charlotte,Duquesne,89,87,Duquesne,2,Win,Away,0.63,-8.03
3/6/13,Duquesne,Charlotte,87,89,Duquesne,-2,Loss,Home,-8.03,0.63
3/6/13,East Carolina,Tulane,88,85,East Carolina,3,Win,Home,0.04,4.33
3/6/13,Tulane,East Carolina,85,88,East Carolina,-3,Loss,Away,4.33,0.04
3/6/13,Florida,Vanderbilt,66,40,Florida,26,Win,Home,18.77,0.00
3/6/13,Vanderbilt,Florida,40,66,Florida,-26,Loss,Away,0.00,18.77
3/6/13,Temple,Fordham,74,55,Fordham,19,Win,Away,4.97,-11.48
3/6/13,Fordham,Temple,55,74,Fordham,-19,Loss,Home,-11.48,4.97
3/6/13,Houston,Rice,84,62,Houston,22,Win,Home,4.32,-11.36
3/6/13,Rice,Houston,62,84,Houston,-22,Loss,Away,-11.36,4.32
3/6/13,Iowa St,Oklahoma St,87,76,Iowa St,11,Win,Home,9.23,10.47
3/6/13,Oklahoma St,Iowa St,76,87,Iowa St,-11,Loss,Away,10.47,9.23
3/6/13,La Salle,G Washington,84,70,La Salle,14,Win,Home,7.07,0.93
3/6/13,G Washington,La Salle,70,84,La Salle,-14,Loss,Away,0.93,7.07
3/6/13,Lafayette,Holy Cross,77,54,Lafayette,23,Win,Home,-0.41,-3.17
3/6/13,Holy Cross,Lafayette,54,77,Lafayette,-23,Loss,Away,-3.17,-0.41
3/6/13,Lehigh,Colgate,71,64,Lehigh,7,Win,Home,7.24,-6.16
3/6/13,Colgate,Lehigh,64,71,Lehigh,-7,Loss,Away,-6.16,7.24
3/6/13,Long Island,Quinnipiac,91,83,Long Island,8,Win,Home,2.50,0.16
3/6/13,Quinnipiac,Long Island,83,91,Long Island,-8,Loss,Away,0.16,2.50
3/6/13,Marshall,Southern Miss,88,84,Marshall,4,Win,Home,-4.35,7.83
3/6/13,Southern Miss,Marshall,84,88,Marshall,-4,Loss,Away,7.83,-4.35
3/6/13,North Carolina,Maryland,79,68,Maryland,11,Win,Away,7.30,7.10
3/6/13,Maryland,North Carolina,68,79,Maryland,-11,Loss,Home,7.10,7.30
